detiber,vincepri,natalisucks,soltysh,qedrakmar,justaugustus,xmudrii,ameukam,divya-mohan0209,pohly,pacoxu
4,2,11,1,11,11,11,11,3,11,11
9,8,1,4,6,10,7,2,5,11,3
6,11,3,9,1,2,7,5,4,11,11
4,9,8,6,10,2,5,1,3,11,7
11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,1
11,11,11,11,11,11,11,11,11,11,1
11,11,11,11,11,11,11,11,11,11,11
10,10,10,10,10,10,10,10,10,11,11
11,11,11,1,11,11,5,5,2,3,4
11,11,4,1,11,11,11,11,2,11,3
11,3,11,11,11,11,11,1,11,2,11
8,7,3,1,6,4,4,9,5,2,11
5,2,No opinion,1,3,6,No opinion,No opinion,No opinion,4,No opinion
No opinion,5,No opinion,1,7,3,No opinion,No opinion,4,6,2
11,11,11,11,11,11,11,11,11,11,1
11,11,11,11,11,11,11,11,11,1,1
11,11,11,11,11,11,11,11,11,11,1
3,11,2,7,5,1,8,6,4,9,10
3,6,11,5,2,1,11,4,11,11,11
11,3,11,2,11,4,11,11,11,1,11
11,11,11,3,11,11,11,11,11,2,1
5,5,11,2,5,4,3,5,11,1,11
11,11,2,11,11,11,3,4,11,1,11
3,1,11,11,11,2,5,11,11,4,11
11,11,11,11,11,11,11,11,11,11,11
5,2,No opinion,1,3,6,No opinion,No opinion,No opinion,4,No opinion
3,2,10,9,6,5,7,11,8,4,1
11,11,11,11,11,11,11,11,11,11,1
11,11,11,11,11,11,11,11,11,11,1
3,11,11,11,11,2,11,1,11,11,11
11,11,No opinion,1,No opinion,11,2,2,1,1,1
8,5,6,4,11,1,9,10,2,7,3
9,7,5,1,11,8,4,10,6,3,2
11,11,11,11,11,11,11,11,9,11,1
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,9,11
10,11,11,11,11,11,10,11,11,11,1
11,11,11,3,11,2,11,11,11,1,11
8,5,2,6,No opinion,No opinion,1,No opinion,7,4,3
11,11,11,11,11,11,11,11,11,11,1
11,11,11,2,11,3,11,11,11,4,1
4,11,11,1,11,3,6,11,11,2,4
7,3,11,4,9,8,6,5,10,2,1
5,3,6,11,11,11,4,2,7,1,11
11,11,10,2,11,8,11,5,11,1,6
No opinion,No opinion,11,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1
2,5,3,8,7,1,9,6,4,11,10
9,7,2,1,11,10,8,5,4,6,3
No opinion,No opinion,No opinion,1,No opinion,2,3,No opinion,No opinion,4,5
5,7,1,6,10,3,4,9,2,11,8
11,11,11,11,11,11,11,11,11,11,1
10,4,2,1,8,3,9,7,6,5,11
8,9,7,4,1,10,2,11,3,6,5
4,10,5,9,11,2,3,1,8,6,7
3,10,1,6,8,2,7,5,4,11,9
10,7,8,1,9,11,5,2,3,4,6
No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
11,11,1,11,11,1,6,6,2,3,7
4,No opinion,No opinion,1,6,2,7,No opinion,No opinion,5,3
2,4,6,9,1,10,5,3,7,8,11
5,4,11,2,6,10,3,8,9,1,7
No opinion,1,No opinion,1,No opinion,1,No opinion,1,No opinion,No opinion,No opinion
3,2,No opinion,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
7,11,4,2,8,10,6,9,5,1,3
11,11,11,11,11,11,11,11,11,11,1
6,1,3,8,No opinion,2,4,9,7,No opinion,5
5,1,11,2,10,3,8,4,9,7,6
3,2,2,No opinion,No opinion,1,6,No opinion,1,4,5
6,11,7,2,10,4,8,1,3,5,9
No opinion,3,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,11,2
11,1,11,11,11,11,11,11,11,11,11
11,11,11,11,11,2,11,11,11,1,11
7,9,3,8,5,6,1,2,4,11,10
11,6,6,1,9,6,8,9,4,3,4
11,No opinion,2,No opinion,No opinion,No opinion,3,4,1,No opinion,5
4,10,2,1,9,11,7,3,8,5,6
No opinion,No opinion,1,1,1,9,5,5,1,6,No opinion
1,2,No opinion,5,No opinion,3,7,8,No opinion,6,4
11,11,11,1,11,4,5,11,11,2,6
4,2,1,11,11,11,11,11,3,11,11
11,11,1,11,11,4,11,11,11,2,3
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion
6,11,9,2,8,3,7,1,10,4,5
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,11
5,3,7,9,10,11,8,4,2,6,1
6,11,4,3,11,1,7,11,2,5,11
11,11,11,1,11,5,3,2,6,7,3
10,11,5,4,3,7,8,2,1,9,6
11,11,11,11,11,11,11,2,11,1,3
4,3,2,5,7,6,9,No opinion,1,8,No opinion
8,9,4,6,10,11,7,2,1,3,5
11,11,11,1,11,11,11,11,11,11,11
5,5,2,1,5,11,3,4,3,4,4
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,11,No opinion
11,10,4,2,5,6,9,7,8,3,1
6,9,6,1,3,4,5,7,8,2,4
11,7,11,2,9,11,11,11,8,3,1
11,11,11,11,11,6,11,2,2,3,1
10,11,5,7,9,4,6,2,8,3,1
3,11,11,5,6,10,11,1,10,8,4
3,11,11,11,11,11,4,1,11,2,11
No opinion,3,No opinion,No opinion,No opinion,No opinion,4,2,1,No opinion,No opinion
11,1,11,1,11,11,11,11,11,11,11
11,11,11,1,2,11,11,3,11,11,4
8,6,2,4,10,11,9,1,3,5,7
11,5,No opinion,No opinion,6,1,4,3,2,No opinion,No opinion
9,7,11,5,11,11,9,11,11,1,5
3,3,1,2,3,3,3,1,1,2,2
11,6,2,1,10,9,8,7,3,4,5
4,7,5,1,6,3,3,2,2,4,5
6,2,10,4,11,1,5,7,9,3,8
11,11,11,11,11,4,2,1,11,3,5
No opinion,No opinion,No opinion,1,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion
No opinion,No opinion,No opinion,No opinion,No opinion,2,No opinion,No opinion,No opinion,1,3
11,2,11,1,11,5,11,11,11,4,3
11,11,4,1,11,11,11,11,11,4,4
3,9,2,9,4,1,5,4,3,11,11
6,11,1,2,11,4,11,5,11,5,3
8,6,11,1,11,5,4,7,11,2,3
4,8,11,8,11,4,4,1,2,11,11
2,3,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,4,No opinion
9,10,1,3,5,2,7,4,8,11,6
No opinion,3,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1
7,6,8,5,10,4,9,1,2,3,11
11,11,11,1,11,11,11,2,3,11,4
4,6,10,1,9,7,11,3,8,2,5
5,6,11,1,8,7,4,9,10,2,3
No opinion,No opinion,No opinion,11,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
11,10,11,1,11,11,11,11,11,5,11
No opinion,No opinion,No opinion,11,No opinion,No opinion,No opinion,No opinion,11,No opinion,No opinion
3,10,2,1,11,10,10,1,2,10,4
10,9,7,6,1,11,8,2,5,3,4
11,1,11,1,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,1,1
11,2,3,11,11,8,3,11,11,11,1
