Timothy St. Clair,Ilya Dmitrichenko,Caleb Miles,Doug Davis,Phillip Whitrock,Kris Nova,Derek Carr,Aaron Crickenberger,Jaice Singer DuMars,Michelle Noorali,Ihor Dvoretskyi,Alex Pollitt,Michael Rubin,Quinton Hoole,Rob Hirschfeld,Aaron Schlesinger,Sebastien Goasguen,Matt Farina,Adnan Abdulhussein,Justin Santa Barbara
20,20,10,20,2,20,15,1,1,2,20,20,2,20,20,20,20,15,20,10
4,20,20,20,6,20,2,20,20,20,20,5,20,1,20,20,20,20,20,3
7,16,11,11,11,2,10,5,1,2,7,No opinion,15,5,17,11,9,No opinion,No opinion,2
20,1,20,20,20,20,20,20,20,20,2,20,20,20,20,20,20,20,20,20
5,No opinion,8,No opinion,3,No opinion,1,7,No opinion,4,No opinion,No opinion,2,6,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
3,20,5,6,7,2,7,7,7,7,7,1,4,16,18,7,14,19,7,17
1,20,20,20,20,2,20,20,20,3,20,20,20,20,20,20,4,20,20,20
4,1,20,20,20,20,20,20,20,3,20,20,20,20,20,20,20,20,2,20
8,13,16,3,2,7,19,15,6,12,5,18,1,20,11,17,4,9,14,10
20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20
6,20,8,20,3,13,1,7,12,2,20,9,4,5,20,20,10,20,11,20
20,20,3,20,9,1,4,7,2,5,20,20,9,9,20,6,20,20,20,20
20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20
2,3,8,20,20,5,1,20,20,6,20,20,20,20,7,20,20,9,20,4
2,14,8,20,3,9,1,7,13,5,18,10,6,4,19,16,11,15,12,17
20,20,20,6,20,2,20,4,3,1,20,20,20,5,20,20,20,20,20,20
6,20,8,20,3,20,1,7,20,2,20,9,4,5,20,20,10,20,20,20
13,No opinion,7,No opinion,1,11,12,5,10,4,6,No opinion,No opinion,2,No opinion,No opinion,8,No opinion,No opinion,3
6,14,8,20,3,13,1,7,12,2,18,9,4,5,19,16,10,15,11,17
4,20,8,5,7,6,14,14,3,14,14,1,2,17,15,9,18,14,19,16
2,8,19,20,4,7,1,10,16,9,5,11,3,6,14,15,13,18,17,12
5,18,16,11,6,1,12,20,17,4,9,8,7,19,13,14,2,10,15,3
7,3,12,1,5,19,9,16,18,13,2,15,20,10,6,17,8,11,14,4
1,14,11,12,7,2,3,6,5,4,17,10,9,16,19,No opinion,8,No opinion,15,20
20,18,11,2,5,17,9,10,7,8,4,14,19,12,16,15,1,3,6,13
3,20,7,20,2,20,20,10,9,4,6,20,1,20,20,20,12,8,5,11
2,20,20,20,20,20,1,4,20,20,6,20,5,3,20,20,20,20,20,20
2,18,5,12,8,6,1,7,16,9,14,15,3,4,20,13,10,17,19,11
5,20,20,20,3,1,16,20,20,1,20,20,4,6,20,20,20,20,20,7
20,11,2,20,1,12,5,11,2,9,6,20,1,20,8,11,9,12,11,6
2,7,2,1,20,20,5,20,20,20,6,20,20,3,20,20,20,20,20,4
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20
20,20,20,20,20,20,2,20,1,20,20,20,20,20,20,20,20,20,20,20
7,12,8,17,3,11,1,6,10,4,18,15,5,2,20,19,13,14,9,16
12,1,2,8,17,4,9,3,19,10,14,13,18,11,5,15,7,6,16,20
7,18,20,4,3,14,1,9,12,2,15,8,5,6,19,17,10,16,11,13
8,18,15,14,1,10,17,12,3,20,11,20,1,16,20,19,2,20,9,13
6,20,8,20,7,6,3,4,8,2,20,20,1,9,5,20,20,20,20,4
2,20,20,20,1,20,20,20,20,20,6,20,3,20,20,20,5,20,20,4
3,20,20,20,2,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20
4,10,8,20,5,20,1,3,20,20,6,20,2,11,20,9,20,20,20,7
20,20,1,20,7,3,20,20,20,2,20,4,6,20,5,20,20,20,20,20
1,5,13,16,10,20,9,11,12,19,14,17,15,2,18,4,7,3,8,6
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20
20,20,20,20,20,1,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,1,20,3,20,20,6,5,2,20,8,4,7,20,20,20,20,20,9
2,20,9,20,1,20,2,9,2,1,9,20,7,7,20,20,20,20,20,2
20,20,2,20,20,20,20,5,20,1,3,20,20,20,6,20,20,20,20,4
2,20,4,20,4,20,1,20,20,3,20,20,20,20,20,20,20,20,20,20
2,20,20,20,20,20,1,20,19,3,20,20,20,20,20,20,20,20,20,20
6,9,No opinion,No opinion,No opinion,5,No opinion,No opinion,4,1,2,No opinion,No opinion,No opinion,3,No opinion,8,No opinion,No opinion,7
19,9,4,20,1,16,5,7,17,18,3,6,2,10,13,15,11,8,12,14
8,16,18,12,13,6,15,10,4,19,7,3,9,2,5,11,1,14,17,20
6,14,8,20,4,13,1,7,12,3,18,9,5,2,19,16,10,15,11,17
20,20,20,20,2,20,4,20,20,20,20,20,1,20,20,20,20,20,20,4
14,No opinion,3,13,2,12,No opinion,4,1,6,9,No opinion,11,5,10,8,7,No opinion,No opinion,16
3,No opinion,No opinion,No opinion,No opinion,2,No opinion,No opinion,No opinion,1,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20
1,18,8,10,9,11,4,5,6,3,17,14,12,2,20,13,16,19,15,7
No opinion,3,No opinion,No opinion,No opinion,20,No opinion,No opinion,No opinion,4,No opinion,No opinion,No opinion,No opinion,No opinion,1,2,5,No opinion,No opinion
13,13,3,18,1,14,9,5,6,10,8,19,2,20,13,15,4,17,11,7
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1
7,18,11,14,1,9,8,12,5,2,20,4,10,19,17,6,3,13,16,15
1,4,15,17,15,6,20,15,16,2,5,15,15,3,7,18,15,19,15,15
20,20,20,20,20,2,20,20,20,5,20,4,3,1,20,20,20,6,20,20
2,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion,No opinion,6,No opinion,4,No opinion,7,8,No opinion,3,9,No opinion,5
20,No opinion,2,3,1,20,2,2,5,20,3,5,1,20,No opinion,20,No opinion,3,No opinion,2
3,No opinion,No opinion,No opinion,1,5,No opinion,No opinion,No opinion,4,No opinion,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
2,20,20,20,3,4,1,20,20,5,20,20,20,20,20,6,20,20,20,20
3,11,8,15,2,12,1,7,10,4,13,9,5,6,13,11,9,11,9,14
4,9,6,20,3,20,1,5,20,20,20,20,8,20,20,20,20,20,20,1
8,19,11,19,6,5,10,1,3,7,4,19,2,19,19,12,9,19,19,20
8,No opinion,16,No opinion,2,13,9,3,1,11,10,No opinion,7,4,5,15,14,12,No opinion,6
3,7,4,20,10,1,2,20,12,9,20,6,5,11,20,20,20,8,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20
5,20,20,20,2,20,3,20,20,7,4,20,1,6,20,20,20,20,20,20
13,19,17,20,5,6,7,9,1,2,12,18,14,11,16,8,10,4,3,15
5,20,19,19,19,2,19,19,7,19,8,1,3,19,6,19,19,19,19,19
3,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20,2,20,20
4,20,20,20,5,20,2,1,6,20,20,20,20,20,20,20,20,20,20,3
6,No opinion,8,No opinion,3,No opinion,1,7,No opinion,2,No opinion,9,4,5,No opinion,No opinion,10,No opinion,No opinion,No opinion
2,5,4,7,18,19,6,11,15,14,16,3,1,20,17,9,8,12,10,13
20,20,1,20,1,1,20,1,1,1,20,20,20,20,20,20,20,20,20,20
11,5,No opinion,4,3,No opinion,No opinion,9,No opinion,2,20,10,7,No opinion,No opinion,8,6,No opinion,No opinion,1
2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,3,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,1
6,14,8,20,3,13,1,7,12,2,18,9,4,5,19,16,10,15,11,17
20,20,1,20,3,20,20,6,5,2,20,8,4,7,20,20,20,20,20,9
2,No opinion,8,13,3,12,1,9,7,4,No opinion,No opinion,5,6,10,No opinion,No opinion,No opinion,No opinion,11
6,19,3,19,19,7,9,2,1,19,5,19,7,4,19,10,19,19,19,20
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20
2,6,13,20,12,5,19,10,19,9,8,14,6,19,7,19,4,1,3,11
10,10,8,10,1,10,1,10,1,10,1,1,8,20,10,10,1,10,10,1
8,14,3,12,6,15,1,9,11,5,20,10,2,7,20,20,20,13,20,4
6,4,5,13,7,1,17,17,10,3,11,8,17,18,20,9,17,19,12,2
5,14,7,20,2,13,1,6,12,8,18,9,3,4,19,16,10,15,11,17
4,18,20,18,1,19,14,17,2,18,13,18,15,18,12,18,16,18,18,3
2,9,20,20,11,5,8,3,4,6,10,20,20,20,7,12,11,20,20,1
13,7,11,16,1,20,3,6,5,19,14,9,4,17,15,12,8,10,18,2
1,20,20,20,20,2,20,20,20,3,20,20,20,6,20,4,20,20,20,5
4,14,7,20,3,12,1,8,19,2,18,10,6,5,16,17,15,11,9,13
No opinion,5,2,No opinion,No opinion,4,No opinion,No opinion,2,No opinion,3,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion,No opinion,No opinion
20,20,20,20,2,20,20,20,20,20,20,20,1,20,20,20,20,20,20,20
6,10,7,12,5,16,3,13,19,9,8,11,2,1,18,20,15,17,14,4
6,3,No opinion,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion,7,No opinion,1,5,No opinion,No opinion,No opinion,No opinion,No opinion,4
20,20,5,20,1,20,5,2,4,20,20,20,3,20,20,20,20,20,20,5
3,20,8,20,4,20,1,20,20,5,20,20,2,7,20,20,20,20,20,6
7,5,20,15,4,17,10,1,6,3,9,18,2,13,16,19,11,14,8,12
4,7,No opinion,No opinion,No opinion,3,No opinion,6,8,2,9,No opinion,No opinion,5,No opinion,No opinion,No opinion,No opinion,10,1
20,20,20,20,20,1,20,4,20,2,8,5,3,20,20,7,20,6,20,20
18,16,15,20,5,2,17,19,9,1,3,11,10,12,13,7,4,8,6,14
2,12,14,15,8,3,7,13,4,1,5,18,16,19,17,6,11,20,9,10
3,20,4,20,1,20,1,2,2,20,2,20,1,20,20,20,20,20,20,2
4,17,5,14,18,1,11,8,10,2,3,19,20,7,6,9,16,15,13,12
5,10,10,20,2,5,3,20,10,5,10,20,1,10,20,20,20,10,20,5
6,20,8,20,3,20,1,7,20,2,20,9,4,5,20,20,10,20,20,20
3,20,5,20,9,20,1,7,20,8,20,20,2,20,20,20,20,20,20,4
7,20,8,20,20,20,3,4,6,20,20,20,1,5,20,20,20,20,20,2
20,20,20,3,7,4,20,5,2,20,6,20,20,20,20,20,20,20,20,1
3,20,5,14,10,7,13,1,4,6,12,8,9,20,20,20,11,2,20,20
11,2,18,20,16,3,10,17,1,7,19,12,15,5,14,4,13,9,6,8
5,20,7,20,1,20,4,20,20,2,20,20,20,3,20,20,20,20,20,6
15,No opinion,6,13,1,No opinion,14,3,4,10,7,No opinion,2,12,No opinion,No opinion,7,7,No opinion,5
15,14,12,8,16,11,1,19,17,20,4,10,3,13,9,5,18,7,6,2
7,19,10,10,1,20,9,11,16,3,18,6,2,4,8,13,5,15,14,17
3,5,10,13,2,9,4,20,6,12,15,16,1,14,11,8,18,19,7,17
3,18,5,20,12,6,1,10,13,2,14,8,7,4,16,17,9,19,11,15
20,20,4,20,2,20,8,7,3,20,6,20,1,20,20,20,20,20,20,5
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,2
8,12,7,No opinion,4,11,1,13,3,10,6,No opinion,2,9,No opinion,14,No opinion,No opinion,No opinion,5
2,20,8,20,11,20,1,20,9,7,20,20,6,5,12,4,10,20,20,3
20,19,8,17,1,10,17,17,17,10,11,17,2,7,17,3,7,10,18,7
20,20,20,20,1,20,5,4,20,20,20,20,3,6,20,20,20,20,20,2
4,7,6,20,11,3,15,10,19,1,13,8,14,16,12,5,17,2,9,18
19,20,20,20,20,20,20,20,20,20,1,2,20,20,18,20,20,20,20,20
No opinion,No opinion,19,No opinion,12,18,15,20,11,10,13,No opinion,16,No opinion,14,17,8,No opinion,No opinion,9
4,14,7,20,3,12,1,18,13,2,10,8,6,5,19,17,9,15,11,16
2,20,20,20,20,20,1,20,4,20,20,20,3,20,20,20,20,20,20,5
4,No opinion,3,12,6,15,13,11,10,13,10,20,2,18,5,10,1,10,10,14
1,2,20,20,20,2,20,20,20,20,20,20,20,3,20,20,20,20,20,20
20,16,17,19,8,18,6,2,4,5,3,12,9,10,15,14,13,1,7,11
6,No opinion,11,No opinion,13,1,4,No opinion,3,2,5,No opinion,8,No opinion,No opinion,10,12,No opinion,9,7
20,20,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20,20,20,20
17,20,18,20,2,20,5,18,18,10,4,20,1,3,20,18,7,20,20,6
7,4,7,7,7,2,7,7,7,7,3,7,6,5,7,7,7,7,7,1
6,9,9,4,6,1,7,8,4,2,10,7,5,5,9,10,8,5,3,6
