jeremyrickard,tpepper,lachie83,IanColdwater,palnabarun,justaugustus,deads2k,saiyam1814,tashimi,aojea,vincepri,parispittman,cblecker
3,5,12,13,2,13,13,13,12,4,12,1,5
13,13,13,13,2,13,13,4,13,13,13,1,3
9,3,8,2,5,4,No opinion,10,No opinion,7,13,1,6
No opinion,3,No opinion,13,No opinion,6,1,No opinion,No opinion,No opinion,2,5,4
13,3,13,4,6,10,1,13,13,2,13,12,13
11,5,3,13,4,8,9,10,6,1,7,2,12
4,2,No opinion,No opinion,1,4,No opinion,13,2,3,2,1,3
7,6,No opinion,2,5,3,No opinion,No opinion,4,No opinion,No opinion,1,No opinion
4,6,5,No opinion,No opinion,11,13,12,10,2,No opinion,1,3
2,3,13,13,13,13,13,13,13,13,13,1,4
2,13,13,13,13,13,13,13,1,13,13,13,13
5,4,3,8,11,10,6,12,9,7,13,2,1
9,5,8,7,2,3,No opinion,No opinion,4,No opinion,1,6,10
7,6,1,4,10,3,12,13,5,11,9,2,8
12,5,4,13,12,6,1,12,12,12,12,2,3
1,1,No opinion,3,2,1,No opinion,No opinion,2,3,2,3,3
6,7,8,12,1,11,4,13,10,3,9,2,5
7,8,4,1,11,2,13,9,6,10,12,3,5
5,2,6,12,7,13,8,11,10,4,9,1,3
No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,2,No opinion,No opinion,1,3,No opinion,No opinion
3,No opinion,13,4,13,2,No opinion,13,13,1,1,No opinion,No opinion
13,9,3,13,13,8,13,13,8,13,1,2,4
No opinion,7,6,3,8,5,10,No opinion,2,9,4,1,No opinion
3,1,No opinion,4,No opinion,2,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion
3,2,13,5,13,5,13,13,13,13,13,1,4
13,13,3,2,4,1,13,13,13,13,13,13,13
11,3,12,9,5,13,6,8,1,2,10,4,7
10,5,7,3,No opinion,6,8,No opinion,2,11,4,1,9
8,2,5,5,7,4,12,11,1,10,8,2,12
2,3,3,13,5,13,13,5,1,5,4,2,3
5,4,6,13,6,3,1,13,13,6,6,2,7
11,4,9,12,3,7,10,13,2,5,1,6,8
9,5,13,2,7,3,11,10,8,6,12,1,4
5,2,7,No opinion,8,1,3,No opinion,No opinion,4,6,9,No opinion
2,8,11,3,7,6,5,13,10,9,12,1,4
8,7,13,6,4,5,12,2,1,11,9,3,10
13,5,2,6,13,13,1,13,13,3,13,4,7
13,13,4,13,13,3,1,13,13,1,13,13,2
1,3,1,1,1,1,4,13,7,5,6,1,5
3,5,6,8,No opinion,2,7,No opinion,1,No opinion,No opinion,4,No opinion
6,1,7,12,10,8,3,13,2,9,11,5,4
No opinion,No opinion,6,3,No opinion,No opinion,5,2,1,No opinion,No opinion,4,7
2,3,13,13,13,5,1,13,13,13,13,4,2
4,5,8,7,13,2,2,6,13,13,13,1,13
1,3,6,10,7,4,13,11,5,9,8,2,12
11,4,6,3,9,1,10,13,8,5,12,2,7
2,7,6,4,No opinion,3,No opinion,No opinion,No opinion,No opinion,No opinion,1,No opinion
13,6,4,13,13,13,4,13,13,2,13,3,1
2,3,13,13,13,13,13,13,13,13,13,1,4
12,5,13,2,12,4,1,12,5,12,12,3,12
6,7,13,2,8,4,1,11,9,12,10,3,5
2,6,5,10,9,1,13,8,3,11,12,4,7
4,1,6,13,12,13,13,12,11,3,7,2,2
2,2,1,9,13,8,11,10,6,5,12,3,3
9,12,7,2,10,3,1,5,11,4,13,6,8
2,9,6,5,No opinion,7,10,No opinion,8,No opinion,3,1,4
7,5,6,4,8,1,10,12,9,13,11,2,3
4,1,4,8,4,8,1,8,8,1,4,8,8
3,13,13,13,1,5,13,13,4,13,13,2,13
6,3,13,13,5,7,1,13,13,4,13,13,2
13,13,13,1,13,1,2,13,13,2,13,3,3
4,7,3,6,9,5,13,12,10,8,11,2,1
3,6,10,9,5,2,7,13,11,8,12,1,4
4,2,5,7,9,12,13,No opinion,3,6,No opinion,1,8
4,7,12,8,5,3,1,13,13,11,10,6,2
3,5,1,10,6,4,8,11,2,7,13,12,9
5,13,6,13,13,13,1,10,13,13,13,11,2
5,6,10,3,13,1,12,9,8,7,11,2,4
2,3,2,2,13,3,13,13,1,13,13,1,4
13,13,13,13,13,13,2,13,13,13,1,13,13
13,13,1,2,13,3,13,13,13,4,13,13,13
No opinion,No opinion,2,No opinion,No opinion,3,No opinion,No opinion,No opinion,1,No opinion,No opinion,No opinion
9,7,9,2,6,4,3,9,9,9,8,1,5
11,12,11,10,12,1,13,12,2,12,12,2,12
