# ----------------------------------------
# PROD: kubernetes.io
# Pages
# 20150421-20220813
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"18,290,776","15,504,086",00:01:31,"13,547,004",48.15%,43.15%,$0.00
/docs/reference/kubectl/cheatsheet/,"10,546,617","9,204,821",00:05:08,"6,074,007",66.56%,57.15%,$0.00
/docs/home/,"8,938,775","6,933,172",00:00:46,"1,908,275",28.77%,14.08%,$0.00
/docs/concepts/services-networking/service/,"7,484,895","6,245,156",00:05:04,"3,477,056",64.09%,51.39%,$0.00
/docs/concepts/workloads/controllers/deployment/,"5,963,327","4,975,550",00:04:32,"2,671,858",58.02%,45.14%,$0.00
/docs/concepts/services-networking/ingress/,"5,776,989","4,820,050",00:05:15,"3,320,516",67.84%,57.71%,$0.00
/docs/tutorials/kubernetes-basics/,"5,442,146","4,400,987",00:01:28,"1,416,142",46.11%,25.23%,$0.00
/docs/concepts/storage/persistent-volumes/,"5,194,517","3,936,807",00:04:40,"2,118,488",58.99%,43.01%,$0.00
/docs/tasks/tools/install-kubectl/,"5,122,908","4,279,358",00:05:20,"2,805,979",69.26%,57.05%,$0.00
/docs/concepts/storage/volumes/,"4,545,823","3,554,556",00:04:28,"1,811,130",59.55%,42.88%,$0.00
/docs/concepts/configuration/secret/,"4,364,894","3,662,524",00:05:27,"2,418,977",65.58%,54.95%,$0.00
/docs/setup/,"4,238,272","3,278,122",00:00:50,"837,387",34.31%,14.80%,$0.00
(other),"4,190,260","3,662,750",00:02:03,"1,294,444",62.24%,32.71%,$0.00
/docs/concepts/overview/what-is-kubernetes/,"4,104,627","3,663,864",00:03:53,"2,202,453",74.27%,57.37%,$0.00
/docs/concepts/,"3,877,934","2,981,386",00:01:00,"698,792",41.28%,16.68%,$0.00
/docs/tutorials/,"3,281,646","2,669,096",00:00:56,"1,003,813",34.56%,19.76%,$0.00
/docs/tasks/tools/,"2,819,212","2,194,764",00:01:11,"1,262,765",28.29%,23.15%,$0.00
/docs/tasks/tools/install-minikube/,"2,729,475","1,995,158",00:03:38,"967,078",47.28%,35.89%,$0.00
/docs/concepts/overview/components/,"2,686,475","2,253,735",00:03:29,"897,969",60.83%,39.70%,$0.00
/docs/tasks/configure-pod-container/configure-pod-configmap/,"2,673,761","2,265,333",00:05:49,"1,369,185",65.88%,54.25%,$0.00
/docs/reference/access-authn-authz/rbac/,"2,643,762","2,152,791",00:05:45,"1,407,693",67.87%,55.58%,$0.00
/docs/setup/production-environment/tools/kubeadm/install-kubeadm/,"2,569,637","1,889,371",00:03:57,"850,700",50.21%,34.73%,$0.00
/docs/tasks/access-application-cluster/web-ui-dashboard/,"2,506,814","2,142,283",00:05:26,"1,476,479",68.15%,59.65%,$0.00
/docs/tutorials/kubernetes-basics/create-cluster/cluster-intro/,"2,287,978","1,854,660",00:02:27,"318,340",56.80%,25.05%,$0.00
/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/,"2,277,791","1,930,089",00:06:22,"1,408,692",74.19%,63.51%,$0.00
/docs/tasks/access-application-cluster/configure-access-multiple-clusters/,"2,171,791","1,869,878",00:04:45,"1,130,826",61.79%,53.71%,$0.00
/docs/setup/production-environment/tools/kubeadm/create-cluster-kubeadm/,"2,146,820","1,581,195",00:04:02,"686,527",53.15%,37.31%,$0.00
/docs/concepts/containers/images/,"2,105,935","1,834,997",00:04:15,"975,548",63.62%,49.21%,$0.00
/docs/concepts/overview/working-with-objects/namespaces/,"2,038,202","1,841,064",00:03:58,"1,045,521",58.51%,46.35%,$0.00
/docs/reference/,"2,028,835","1,537,715",00:01:15,"333,310",37.26%,20.39%,$0.00
/docs/concepts/services-networking/dns-pod-service/,"2,015,329","1,731,152",00:04:28,"971,251",60.09%,47.69%,$0.00
/docs/tasks/debug-application-cluster/get-shell-running-container/,"1,997,913","1,842,672",00:05:56,"1,278,474",70.72%,63.14%,$0.00
/docs/concepts/architecture/nodes/,"1,974,125","1,706,583",00:02:59,"591,308",55.99%,35.81%,$0.00
/docs/concepts/services-networking/connect-applications-service/,"1,921,767","1,707,568",00:04:53,"696,743",54.39%,42.01%,$0.00
/docs/concepts/workloads/pods/pod-lifecycle/,"1,894,690","1,600,061",00:03:53,"786,710",59.46%,45.80%,$0.00
/docs/concepts/overview/working-with-objects/labels/,"1,844,088","1,601,378",00:04:09,"782,030",58.05%,43.39%,$0.00
